# Time-averaged data for fix CPR
# TimeStep c_VIR[1] c_VIR[2] c_VIR[3] c_VIR[4] c_VIR[5] c_VIR[6]
0 -2030.59 -5773.27 -3754.29 361.609 -574.633 -250.677
1 -1907.24 -5162.49 -3467.82 -172.661 -577.421 -385.612
2 -2363.65 -4859.58 -3755.42 -570.979 -295.434 -246.183
3 -3218.79 -4998.49 -4584.86 -701.008 185.107 93.5475
4 -4256.83 -5628.59 -5752.79 -496.81 707.764 442.133
5 -5247.59 -6629.24 -6879.18 10.9583 1106.22 587.202
6 -5965.86 -7679.87 -7544.79 672.167 1272.76 414.676
7 -6239.12 -8372.14 -7508.76 1240.06 1202.23 -35.5278
8 -6004.38 -8400.96 -6844.44 1469.25 988.725 -602.138
9 -5347.54 -7698.65 -5881.25 1239.47 789.634 -1095.83
10 -4515.18 -6441.56 -5032.06 627.695 762.342 -1379.61
11 -3875.22 -4976.91 -4645.33 -109.929 972.656 -1386.03
12 -3775.88 -3723.18 -4893.91 -657.15 1354.76 -1113.23
13 -4379.33 -3055.01 -5735.22 -791.819 1747.85 -625.88
14 -5587.03 -3182.11 -6969.43 -473.806 1976.87 -48.9729
15 -7079.23 -4055.52 -8333.5 171.885 1935.66 460.184
16 -8422.48 -5355.92 -9548.7 933.214 1627.34 762.972
17 -9202.36 -6590.96 -10331.2 1591.76 1142.72 792.183
18 -9154.41 -7281.08 -10447.1 1983.77 604.753 583.395
19 -8274.71 -7175.49 -9841.3 2046.19 118.715 261.398
20 -6846.69 -6381.71 -8735.21 1833 -254.387 -24.1018
21 -5333.67 -5305.27 -7560.86 1477.74 -505.052 -170.074
22 -4194 -4425.35 -6745.61 1107.86 -664.595 -150.204
23 -3723.65 -4063.88 -6524.26 776.631 -772.376 1.81094
24 -3988.97 -4305.18 -6901.06 479.105 -842.022 223.858
25 -4841.58 -5061.41 -7708.57 231.229 -856.135 445.295
26 -5977.38 -6146.98 -8658.48 115.183 -791.264 607.025
27 -7019.19 -7296.11 -9378.17 218.642 -648.76 677.218
28 -7623.74 -8192.32 -9516.83 522.687 -474.206 656.852
29 -7593.37 -8575.51 -8902.97 860.157 -348.99 567.852
30 -6944.55 -8369.22 -7637.46 988.448 -336.42 417.608
31 -5904.04 -7705.39 -6066.45 729.807 -428.699 180.991
32 -4823.82 -6828.52 -4655.17 75.2321 -547.949 -169.485
33 -4042.19 -5979.08 -3818.12 -819.063 -591.177 -614.393
34 -3758.09 -5332.95 -3764.07 -1719.71 -475.327 -1068.92
35 -3976.38 -4995.22 -4425.41 -2419.63 -156.042 -1417.89
36 -4550.79 -5001.89 -5516.71 -2799.59 363.366 -1585.56
37 -5273.91 -5310.81 -6682.3 -2833.18 1009.14 -1584.37
38 -5949.43 -5796.38 -7618.85 -2567.07 1622.63 -1507.12
39 -6420.74 -6253.61 -8109.88 -2104.2 2004.65 -1473.85
40 -6580.82 -6436.65 -8029.56 -1588.26 2011.27 -1574.63
41 -6394.54 -6168.66 -7395.01 -1184.4 1629.96 -1850.18
