LAMMPS data file via write_data, version 15 Sep 2022, timestep = 0

6501 atoms
23 atom types
6594 bonds
25 bond types
12319 angles
47 angle types
19572 dihedrals
60 dihedral types

0.004165 39.17781 xlo xhi
-0.002475 39.17117 ylo yhi
-0.002881 39.170764 zlo zhi

Masses

1 1.00794
2 1.00794
3 12.0107
4 12.0107
5 1.00794
6 1.008
7 1.00794
8 1.00794
9 1.00794
10 1.00794
11 15.999
12 15.9994
13 15.9994
14 28.085501
15 12.0107
16 12.0107
17 1.00794
18 15.9994
19 15.9994
20 12.0107
21 12.0107
22 1.00794
23 15.9994
24 15.9994
25 1.00794

Pair Coeffs # lj/cut/coul/cut

1 0.038 2.44997
2 0.038 2.44997
3 0.039 3.87541
4 0.039 3.87541
5 0.038 2.44997
6 0 1
7 0.038 2.44997
8 0.038 2.44997
9 0 0
10 0.038 2.44997
11 0.1521 3.1507
12 0.228 2.85978
13 0.228 2.85978
14 0.04 4.05343
15 0.148 3.61705
16 0.039 3.87541
17 0.038 2.44997
18 0.228 2.85978
19 0.228 2.85978
20 0.148 3.61705
21 0.148 3.61705
22 0 0
23 0.228 2.85978
24 0 0
25 0 0

Bond Coeffs # harmonic

1 340.618 1.105
2 340.618 1.105
3 322.716 1.526
4 340.618 1.105
5 340.618 1.105
6 340.618 1.105
7 384 1.42
8 384 1.42
9 540.634 0.96
10 450 0.9572
11 540.634 0.96
12 392.8 1.665
13 283.092 1.52
14 340.618 1.105
15 615.322 1.23
16 322.716 1.526
17 340.618 1.105
18 283.092 1.52
19 283.092 1.52
20 340.618 1.105
21 340.618 1.105
22 384 1.42
23 384 1.42
24 384 1.42
25 540.634 0.96

Angle Coeffs # harmonic

1 39.5 106.4
2 44.4 110
3 39.5 106.4
4 44.4 110
5 39.5 106.4
6 46.6 110.5
7 44.4 110
8 44.4 110
9 70 109.5
10 70 109.5
11 46.6 110.5
12 44.4 110
13 58.5 106
14 60 109.5
15 60 109.5
16 33.3 113.4
17 55 104.52
18 39.5 106.4
19 57 109.5
20 57 109.5
21 57 109.5
22 57 109.5
23 42.3 113.1
24 31.1 149.8
25 46.6 110.5
26 45 109.5
27 50 120
28 68 120
29 46.6 110.5
30 44.4 110
31 46.6 110.5
32 46.6 110.5
33 50 120
34 70 109.5
35 70 109.5
36 44.4 110
37 70 109.5
38 55 120
39 39.5 106.4
40 44.4 110
41 44.4 110
42 57 109.5
43 57 109.5
44 57 109.5
45 70 109.5
46 70 109.5
47 58.5 106

Dihedral Coeffs # harmonic

1 0.158 1 3
2 0.158 1 3
3 0.158 1 3
4 0.158 1 3
5 0.158 1 3
6 0.158 1 3
7 0.158 1 3
8 0.158 1 3
9 0.158 1 3
10 0.13 1 3
11 0.13 1 3
12 0.13 1 3
13 0.158 1 3
14 0.158 1 3
15 0.158 1 3
16 0.158 1 3
17 0.158 1 3
18 0.13 1 3
19 0.13 1 3
20 0.13 1 3
21 0.13 1 3
22 0.13 1 3
23 0.13 1 3
24 1 1 3
25 0.13 1 3
26 0.13 1 3
27 0.13 1 3
28 0.13 1 3
29 0.13 1 3
30 0.158 1 3
31 0.158 1 3
32 0.158 1 3
33 0.158 1 3
34 0.158 1 3
35 0.3 1 3
36 0.158 1 3
37 0.158 1 3
38 0.158 1 3
39 0.158 1 3
40 0.158 1 3
41 0.158 1 3
42 0.158 1 3
43 0.158 1 3
44 0.158 1 3
45 0.158 1 3
46 0.13 1 3
47 0 1 0
48 0 1 0
49 0.158 1 3
50 0.158 1 3
51 0.158 1 3
52 0.158 1 3
53 0.158 1 3
54 0.158 1 3
55 0.158 1 3
56 0.158 1 3
57 0.13 1 3
58 0 1 0
59 0 1 0
60 0.13 1 3

Atoms # full

870 2 12 -0.396912 0.165846 3.001302 4.442421 0 0 0
871 2 9 0.152259 0.551231 2.269002 4.982267 0 0 0
3549 6 4 -0.07924200000000001 0.879699 6.243802 0.883762 0 0 0
3554 6 10 0.134438 1.472566 4.425666 2.062697 0 0 0
3555 6 3 -0.049814 1.806994 5.088319 1.2336 0 0 0
3556 6 4 -0.074796 2.183637 4.21838 0.097264 0 0 0
3557 6 1 0.132144 2.69056 5.438484 1.636833 0 0 0
3558 6 7 0.161449 3.223709 3.877564 0.488029 0 0 0
3562 6 3 -0.057828 1.294318 2.99114 0.002279 0 0 0
3564 6 1 0.128284 1.133441 2.540928 1.022083 0 0 0
3572 6 7 0.158285 0.585573 0.345495 1.054595 0 0 0
3784 6 9 0.158815 2.041085 0.473673 6.015707 0 0 0
3790 6 12 -0.389139 3.948602 0.333419 5.51055 0 0 0
3792 6 10 0.140578 2.895399 1.286613 3.165354 0 0 0
3793 6 3 -0.038979 3.745584 0.604234 3.140165 0 0 0
3794 6 4 -0.07906100000000001 5.078382 1.325774 2.903366 0 0 0
3795 6 1 0.139617 3.607954 0.103755 2.197264 0 0 0
3796 6 7 0.155189 4.968042 1.754187 1.831305 0 0 0
3797 6 12 -0.400322 6.130913 0.37937 2.838156 0 0 0
3798 6 9 0.14359 6.500803 0.475915 3.759669 0 0 0
3800 6 3 -0.054799 5.555044 2.45844 3.810355 0 0 0
3801 6 4 -0.081896 4.82196 3.813839 3.776144 0 0 0
3802 6 1 0.133065 5.652915 2.091968 4.830179 0 0 0
3803 6 7 0.149505 5.462637 4.610023 4.181946 0 0 0
3804 6 12 -0.415288 4.518699 4.110936 2.408519 0 0 0
3805 6 9 0.130357 5.278625 3.779619 1.918323 0 0 0
3806 6 10 0.133426 3.72372 3.43912 5.686071 0 0 0
3807 6 3 -0.056033 3.561433 3.960212 4.728703 0 0 0
3808 6 4 -0.079442 3.194643 5.422906 4.991541 0 0 0
3809 6 1 0.13332 2.759422 3.293112 4.28076 0 0 0
3810 6 7 0.154585 2.055963 5.534506 5.059824 0 0 0
3811 6 12 -0.404435 3.653513 6.163406 3.875846 0 0 0
3812 6 9 0.144651 3.979367 5.533432 3.247394 0 0 0
3813 6 10 0.131199 4.793296 6.078984 6.175015 0 0 0
3814 6 3 -0.055968 3.752188 5.973408 6.285355 0 0 0
4227 7 9 0.136073 5.256874 5.118094 0.391549 0 0 0
6611 2 5 0.308124 11.206895 0.535418 0.238555 0 0 0
3214 5 12 -0.39946 12.090339 5.194129 5.991135 0 0 0
3215 5 9 0.155522 12.03586 6.118127 6.263061 0 0 0
3219 5 1 0.130651 13.047493 3.24972 4.471057 0 0 0
3319 5 19 -0.397683 9.476832 0.215178 4.1601 0 0 0
3321 5 10 0.122611 10.938854 1.806592 5.704779 0 0 0
3322 5 3 -0.061014 10.045276 1.276152 6.121564 0 0 0
3323 5 4 -0.081959 8.791773 2.16875 6.012887 0 0 0
3325 5 7 0.139124 7.917901 1.539327 6.201652 0 0 0
3326 5 12 -0.400429 8.805866 2.842172 4.707081 0 0 0
3327 5 9 0.143924 9.40231 2.377474 4.151237 0 0 0
3333 5 12 -0.414826 6.62052 4.186224 6.441916 0 0 0
3334 5 9 0.149231 6.89069 3.881478 5.544154 0 0 0
3335 5 10 0.125183 8.798749 5.512278 5.521645 0 0 0
3799 6 10 0.136986 6.557953 2.603019 3.490012 0 0 0
4218 7 7 0.163848 7.075514 3.502331 0.433503 0 0 0
4300 7 4 -0.08647100000000001 12.819529 6.403343 1.4363 0 0 0
4305 7 10 0.127517 12.501109 4.457169 2.509724 0 0 0
4306 7 3 -0.061329 11.996643 5.169958 1.794255 0 0 0
4307 7 4 -0.08227 10.735229 5.563478 2.498974 0 0 0
4308 7 1 0.132493 11.669892 4.544635 0.958601 0 0 0
4309 7 7 0.154655 10.387726 4.558477 2.842405 0 0 0
4310 7 12 -0.397412 10.899851 6.439768 3.605246 0 0 0
4311 7 9 0.154569 11.139163 5.856914 4.300299 0 0 0
4312 7 10 0.13577 9.574002 5.425063 0.697696 0 0 0
4313 7 3 -0.046172 9.685117 6.074118 1.578759 0 0 0
4314 7 4 -0.08268499999999999 8.380796 6.24949 2.262969 0 0 0
4317 7 12 -0.397824 7.761489 4.991438 2.335921 0 0 0
4318 7 9 0.152178 8.543336 4.483124 2.677839 0 0 0
3087 5 7 0.159217 19.437592 0.444253 2.318297 0 0 0
3089 5 9 0.153138 19.580088 0.013673 0.186103 0 0 0
3090 5 10 0.14018 18.476797 1.975809 0.936065 0 0 0
3091 5 3 -0.039421 19.389156 2.436781 1.325111 0 0 0
3092 5 4 -0.079125 19.164209 3.390329 2.52491 0 0 0
3095 5 12 -0.400558 18.880142 2.509537 3.629081 0 0 0
3096 5 9 0.143496 19.030558 3.016843 4.388615 0 0 0
3097 5 10 0.13727 17.275475 3.957083 1.608039 0 0 0
3098 5 3 -0.054778 18.102097 4.429131 2.132362 0 0 0
3099 5 4 -0.083577 17.455853 5.144087 3.357201 0 0 0
3100 5 1 0.133052 18.582951 5.089618 1.398642 0 0 0
3101 5 7 0.152505 16.594917 5.809832 2.988684 0 0 0
3102 5 19 -0.416681 17.064257 4.220061 4.299001 0 0 0
3105 5 3 -0.057305 18.54846 6.143204 3.84622 0 0 0
3107 5 1 0.131141 19.463249 5.632854 4.171588 0 0 0
3108 5 7 0.15072 17.581219 6.139057 5.681653 0 0 0
3210 5 3 -0.045115 14.432826 6.087847 6.078181 0 0 0
3211 5 4 -0.06990399999999999 13.384918 5.237157 5.415892 0 0 0
3212 5 1 0.135384 15.392586 6.090864 5.524522 0 0 0
3213 5 7 0.154554 13.263138 5.694468 4.400028 0 0 0
3216 5 10 0.13074 14.665395 3.828727 4.452051 0 0 0
3217 5 3 -0.048985 13.808745 3.722768 5.139212 0 0 0
3218 5 4 -0.075045 13.986714 2.726583 6.2949 0 0 0
3220 5 7 0.15616 13.112918 2.096087 6.491613 0 0 0
