LAMMPS data file via write_data, version 23 Jun 2022, timestep = 1201938

3491 atoms
22 atom types
3601 bonds
21 bond types
6745 angles
39 angle types

29.021083341014165 61.36791665898926 xlo xhi
28.783582341014156 61.13041565898925 ylo yhi
28.84508434101416 61.191917658989254 zlo zhi

Masses

1 1.00794
2 1.00794
3 12.0107
4 12.0107
5 1.00794
6 1.00794
7 1.00794
8 1.00794
9 1.00794
10 15.9994
11 15.9994
12 15.9994
13 28.085501
14 12.0107
15 12.0107
16 1.00794
17 15.9994
18 15.9994
19 12.0107
20 12.0107
21 1.00794
22 15.9994

Pair Coeffs # lj/cut/omp

1 0.038 2.44997
2 0.038 2.44997
3 0.039 3.87541
4 0.039 3.87541
5 0.038 2.44997
6 0.038 2.44997
7 0.038 2.44997
8 0.038 2.44997
9 0.038 2.44997
10 0.228 2.85978
11 0.228 2.85978
12 0.228 2.85978
13 0.04 4.05343
14 0.148 3.61705
15 0.039 3.87541
16 0.038 2.44997
17 0.228 2.85978
18 0.228 2.85978
19 0.148 3.61705
20 0.148 3.61705
21 0.038 2.44997
22 0.228 2.85978

Bond Coeffs # harmonic/omp

1 340.618 1.105
2 340.618 1.105
3 322.716 1.526
4 340.618 1.105
5 340.618 1.105
6 340.618 1.105
7 384 1.42
8 540.634 0.96
9 540.634 0.96
10 222.4 1.382
11 540.634 0.96
12 392.8 1.6652
13 392.8 1.6652
14 283.092 1.52
15 340.618 1.105
16 615.322 1.23
17 322.716 1.526
18 340.618 1.105
19 273.2 1.425
20 540.634 0.96
21 384 1.42

Angle Coeffs # harmonic/omp

1 39.5 106.4
2 44.4 110
3 39.5 106.4
4 44.4 110
5 39.5 106.4
6 46.6 110.5
7 44.4 110
8 44.4 110
9 70 109.5
10 46.6 110.5
11 44.4 110
12 58.5 106
13 33.3 113.4
14 33.3 113.4
15 33.3 113.4
16 33.3 113.4
17 39.5 106.4
18 57 109.5
19 57 109.5
20 42.3 113.1
21 42.3 113.1
22 42.3 113.1
23 31.1 149.8
24 46.6 110.5
25 45 109.5
26 50 120
27 68 120
28 46.6 110.5
29 44.4 110
30 55 120
31 39.5 106.4
32 70 109.5
33 57 109.5
34 70 109.5
35 57 109.5
36 80 109.5
37 70 106
38 80 109.5
39 58.5 106

Atoms # full

747 2 3 0 32.46133609132705 33.82315191368812 29.575820941002963 0 0 0
65 1 9 0 31.45069033889182 30.942956455038452 32.8443842395489 0 0 0
66 1 3 0 30.785110207908613 30.81878027591947 33.757701725559556 0 0 0
60 1 4 0 30.15899904069827 32.13784947491826 34.100656768637506 0 0 0
63 1 11 0 31.287753898529317 33.01864831590309 34.26039879221824 0 0 0
753 2 9 0 32.10930414239946 34.50144511797045 32.24702187647511 0 0 0
68 1 1 0 30.035087978692225 30.139982739651124 33.474134569514376 0 0 0
744 2 11 0 33.67770757361599 32.425463810120235 31.067396192992742 0 0 0
67 1 4 0 31.643814850298753 30.335183044904724 34.944849134947006 0 0 0
745 2 8 0 33.63898767519854 31.774923064006448 31.661255349718086 0 0 0
741 2 4 0 32.4581753279533 32.48510097298437 30.287005163972314 0 0 0
75 1 1 0 33.34142274707445 31.295480189832837 34.10964117759139 0 0 0
743 2 6 0 31.662166435370953 32.51406590816817 31.000567093580177 0 0 0
58 1 9 0 29.945319384960392 33.18908151758315 32.220465717526 0 0 0
59 1 3 0 29.330631494361022 32.689032073926086 32.91213465303892 0 0 0
742 2 1 0 32.250796686944206 30.284150474546678 30.109657685312094 0 0 0
73 1 3 0 33.1842329115869 30.36957715231749 34.66335527830076 0 0 0
748 2 4 0 32.83299205007833 35.0974287969747 30.343862514846247 0 0 0
754 2 3 0 32.04355754597635 35.36604235421598 31.621212695216027 0 0 0
756 2 1 0 30.978312969913997 35.34353570130489 31.394764808415918 0 0 0
64 1 8 0 30.98791099353805 33.63506155448289 34.941845733334844 0 0 0
733 2 3 0 30.40466866841237 29.876989414205244 60.72121793976373 0 0 -1
760 2 9 0 34.088432327643645 35.68091253273557 33.278223192709866 0 0 0
82 1 1 0 34.92300994218663 30.658037566817505 32.93287731992874 0 0 0
751 2 11 0 34.20250547447338 35.27679945413809 30.48987529033355 0 0 0
752 2 8 0 34.516443319809326 34.69014058630442 31.17783959133036 0 0 0
