LAMMPS data file via write_data, version 15 Sep 2022, timestep = 1200086

6501 atoms
23 atom types
6594 bonds
25 bond types
12319 angles
47 angle types
19572 dihedrals
60 dihedral types

0.21228065235460036 38.96969434764539 xlo xhi
0.2056406523545995 38.9630543476454 ylo yhi
0.2052346523545978 38.962648347645384 zlo zhi

Masses

1 1.00794
2 1.00794
3 12.0107
4 12.0107
5 1.00794
6 1.008
7 1.00794
8 1.00794
9 1.00794
10 1.00794
11 15.999
12 15.9994
13 15.9994
14 28.085501
15 12.0107
16 12.0107
17 1.00794
18 15.9994
19 15.9994
20 12.0107
21 12.0107
22 1.00794
23 15.9994

Pair Coeffs # lj/cut/coul/cut/omp

1 0.038 2.44997
2 0.038 2.44997
3 0.039 3.87541
4 0.039 3.87541
5 0.038 2.44997
6 0 1
7 0.038 2.44997
8 0.038 2.44997
9 0 0
10 0.038 2.44997
11 0.1521 3.1507
12 0.228 2.85978
13 0.228 2.85978
14 0.04 4.05343
15 0.148 3.61705
16 0.039 3.87541
17 0.038 2.44997
18 0.228 2.85978
19 0.228 2.85978
20 0.148 3.61705
21 0.148 3.61705
22 0 0
23 0.228 2.85978

Bond Coeffs # harmonic/omp

1 340.618 1.105
2 340.618 1.105
3 322.716 1.526
4 340.618 1.105
5 340.618 1.105
6 340.618 1.105
7 384 1.42
8 384 1.42
9 540.634 0.96
10 450 0.9572
11 540.634 0.96
12 392.8 1.665
13 283.092 1.52
14 340.618 1.105
15 615.322 1.23
16 322.716 1.526
17 340.618 1.105
18 283.092 1.52
19 283.092 1.52
20 340.618 1.105
21 340.618 1.105
22 384 1.42
23 384 1.42
24 384 1.42
25 540.634 0.96

Angle Coeffs # harmonic/omp

1 39.5 106.4
2 44.4 110
3 39.5 106.4
4 44.4 110
5 39.5 106.4
6 46.6 110.5
7 44.4 110
8 44.4 110
9 70 109.5
10 70 109.5
11 46.6 110.5
12 44.4 110
13 58.5 106
14 60 109.5
15 60 109.5
16 33.3 113.4
17 55 104.52
18 39.5 106.4
19 57 109.5
20 57 109.5
21 57 109.5
22 57 109.5
23 42.3 113.1
24 31.1 149.8
25 46.6 110.5
26 45 109.5
27 50 120
28 68 120
29 46.6 110.5
30 44.4 110
31 46.6 110.5
32 46.6 110.5
33 50 120
34 70 109.5
35 70 109.5
36 44.4 110
37 70 109.5
38 55 120
39 39.5 106.4
40 44.4 110
41 44.4 110
42 57 109.5
43 57 109.5
44 57 109.5
45 70 109.5
46 70 109.5
47 58.5 106

Dihedral Coeffs # harmonic/omp

1 0.158 1 3
2 0.158 1 3
3 0.158 1 3
4 0.158 1 3
5 0.158 1 3
6 0.158 1 3
7 0.158 1 3
8 0.158 1 3
9 0.158 1 3
10 0.13 1 3
11 0.13 1 3
12 0.13 1 3
13 0.158 1 3
14 0.158 1 3
15 0.158 1 3
16 0.158 1 3
17 0.158 1 3
18 0.13 1 3
19 0.13 1 3
20 0.13 1 3
21 0.13 1 3
22 0.13 1 3
23 0.13 1 3
24 1 1 3
25 0.13 1 3
26 0.13 1 3
27 0.13 1 3
28 0.13 1 3
29 0.13 1 3
30 0.158 1 3
31 0.158 1 3
32 0.158 1 3
33 0.158 1 3
34 0.158 1 3
35 0.3 1 3
36 0.158 1 3
37 0.158 1 3
38 0.158 1 3
39 0.158 1 3
40 0.158 1 3
41 0.158 1 3
42 0.158 1 3
43 0.158 1 3
44 0.158 1 3
45 0.158 1 3
46 0.13 1 3
47 0 1 0
48 0 1 0
49 0.158 1 3
50 0.158 1 3
51 0.158 1 3
52 0.158 1 3
53 0.158 1 3
54 0.158 1 3
55 0.158 1 3
56 0.158 1 3
57 0.13 1 3
58 0 1 0
59 0 1 0
60 0.13 1 3

Atoms # full

3792 6 10 0.140578 3.712858809389792 2.4506447789202843 4.743268140026352 0 0 0
3793 6 3 -0.038979 3.6503822511444595 2.5338831952668164 3.6272627613036863 0 0 0
3794 6 4 -0.07906100000000001 5.049468682967007 3.1869167305206134 3.0708593897845833 0 0 0
3795 6 1 0.139617 2.8421332810369813 3.238265545637409 3.3239997239848624 0 0 0
3796 6 7 0.155189 4.9500068807165585 4.2910572631361115 2.9593865282534773 0 0 0
3787 6 4 -0.07502499999999999 3.3181313487032815 1.1448993903548166 3.011208988874472 0 1 0
3785 6 10 0.134246 1.1964515024506917 1.1096553627655419 3.4598875647999674 0 1 0
3797 6 12 -0.400322 5.312183860724533 2.6609808095053396 1.751300592021943 0 0 0
3804 6 12 -0.415288 5.977504893569267 5.185235565637061 4.903318134637632 0 0 0
3783 6 12 -0.391877 2.0828767093195317 1.0375168857500738 5.97174439394125 0 1 0
3545 6 12 -0.410838 1.1632701222089463 4.795259857736131 1.8323497190968443 1 0 0
3801 6 4 -0.081896 6.3581725936224815 3.7723725407200455 5.175941170281165 0 0 0
3798 6 9 0.14359 5.967463801060576 3.137102497972098 1.2151964659256735 0 0 0
3809 6 1 0.13332 4.873159356205437 2.597673270103395 6.350057436789091 0 0 0
3807 6 3 -0.056033 5.745092126947121 3.2070894802162333 6.519746097910234 0 0 0
3538 6 12 -0.397792 2.8646146460193265 6.000276394929658 3.850262964397779 1 0 0
3805 6 9 0.130357 6.179529153163006 5.361424294310983 3.99000459995716 0 0 0
3540 6 10 0.128836 3.8266307516492652 5.523107297174316 1.3748822182474023 0 0 0
3800 6 3 -0.054799 6.271577270226995 2.858562269518094 3.9146592853269406 0 0 0
3802 6 1 0.133065 6.238036291009856 1.7574264141096458 4.295661052414795 0 0 0
3816 6 1 0.131765 3.7661223208651347 5.065934202439065 6.548664231910285 0 0 0
3541 6 3 -0.056187 2.98957404612081 6.27251340881939 1.3707634157677988 0 0 0
3542 6 4 -0.089393 1.866784957245288 5.438262654769382 0.7497461444773535 0 0 0
3546 6 9 0.138857 0.304802774913907 5.2114134381407125 1.8602726127320168 1 0 0
3539 6 9 0.15463 3.2582290823935196 6.531150148732432 4.534714665063176 1 0 0
3544 6 7 0.149063 1.1264600734762205 6.165884434589532 0.2989559488261051 0 0 0
3789 6 7 0.159284 2.9419941612950757 1.3435194186022312 1.931161117474865 0 1 0
3786 6 3 -0.049053 2.086542360742948 0.48009726989464846 3.6437491293581297 0 1 0
3791 6 9 0.15351 5.111370780569567 0.9488904919398716 2.7521392244140674 0 1 0
3790 6 12 -0.389139 4.473396521778008 0.33582800170809396 2.89852607005245 0 0 0
3566 6 12 -0.40719 1.4732018657354573 0.36737591366332134 0.44117406994553376 0 0 1
3799 6 10 0.136986 7.201640917861871 2.983923207400268 3.20364492473182 0 0 0
3803 6 7 0.149505 7.365849398240717 3.676894210200606 5.486553523159141 0 0 0
3323 5 4 -0.081959 12.736940077535953 2.332621657669407 4.678292520665717 0 0 0
3325 5 7 0.139124 12.353894648546488 1.7900049363672135 3.772823298761197 0 0 0
3333 5 12 -0.414826 9.885384400928787 3.1176233166055183 3.7422651812494347 0 0 0
3334 5 9 0.149231 10.676532575144636 2.775633081649029 3.2334965004410874 0 0 0
3335 5 10 0.125183 11.124934022628926 5.294986715649315 4.50707551364746 0 0 0
4307 7 4 -0.08227 11.353277383441204 5.496366442075689 1.4686576070966995 0 0 0
4309 7 7 0.154655 11.647631752742402 4.404956757273024 1.58718806996054 0 0 0
3336 5 3 -0.06460299999999999 10.602552377974225 4.85174806416113 5.394704223038038 0 0 0
3329 5 3 -0.060785 11.470797477309116 2.4485069252491756 5.569325650680011 0 0 0
3330 5 4 -0.093468 10.33650734891165 3.373673255924069 5.09573620225042 0 0 0
4313 7 3 -0.046172 9.811531112782152 5.669827066902986 1.3627034009126682 0 0 0
3339 5 7 0.144391 8.785926577432457 5.535719343533359 4.677618569633173 0 0 0
4312 7 10 0.13577 9.281301950149683 5.375430406515832 2.3362705900489433 0 0 0
3337 5 4 -0.09392200000000001 9.42781535519162 5.820076279112839 5.563056480369301 0 0 0
4310 7 12 -0.397412 11.933526600820437 6.314201154591975 2.4988560233458577 0 0 0
3699 6 12 -0.400833 8.372066879550575 0.8230955477241759 5.734718962203022 0 1 0
3331 5 1 0.128638 11.15306950047203 1.4725255663374528 5.7368803613259844 0 0 0
3332 5 7 0.149066 9.61457572825339 3.041535898837794 5.739561450182285 0 0 0
4311 7 9 0.154569 12.05207889389895 5.7112288334131245 3.223240929570126 0 0 0
3700 6 9 0.145665 7.92162888295441 0.5921998135047956 4.929258188140585 0 1 0
3340 5 12 -0.402263 8.627785780642768 5.6445026474347735 6.706537918240145 0 0 0
3338 5 1 0.126986 11.24566007394957 4.986959032109682 6.262323323775701 0 0 0
3326 5 12 -0.400429 13.37557501518198 3.521180429096218 4.281267980155181 0 0 0
3341 5 9 0.148646 7.82999027200982 6.071767121591919 6.556965684876397 0 0 0
4315 7 1 0.137063 9.487313467338831 5.018202376722216 0.5321312405473912 0 0 0
3327 5 9 0.143924 14.102834102832079 3.1757224037575944 3.9096256044126414 0 0 0
3324 5 1 0.128047 13.23779582504681 1.1014269129959886 6.266274126271836 0 0 0
3205 5 1 0.136476 13.228773046403973 5.923058661292485 5.145042047642171 0 0 0
3322 5 3 -0.061014 13.784020977866492 1.4424398210158422 5.422035532785766 0 0 0
3321 5 10 0.122611 14.651398191090239 2.0607802509092465 5.720727182663275 0 0 0
5691 5 17 0.147097 15.383819723671419 2.013142432046072 2.881552041270846 0 0 0
3097 5 10 0.13727 18.62069045175691 2.4512668512003457 1.1973925579215963 0 0 0
3098 5 3 -0.054778 18.91953293729929 2.9202621482190634 2.1761626658798523 0 0 0
3099 5 4 -0.083577 17.695134288698746 2.9470377715703244 3.060328960973643 0 0 0
3101 5 7 0.152505 16.806255811959293 3.4639545590522305 2.6150636445970292 0 0 0
